T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
0.03,-0.1,4.43,4.49,7.5,4.54,0.08,1.748,4.57,4.67
0.09,-0.01,4.51,4.59,7.53,4.63,0.13,1.7442,4.72,4.73
0.27,0.1,4.6,4.79,7.75,4.72,0.2,1.768,4.99,4.89
0.27,0.14,4.72,4.94,7.93,4.84,0.17,1.8687,5.11,4.97
0.19,-0.01,4.79,4.99,8.02,4.92,0.12,1.8435,5.11,5.12
0.01,-0.03,4.95,5.24,8.25,5.08,-0.15,1.8443,5.09,5.12
-0.21,-0.02,4.96,5.25,8.25,5.09,-0.37,1.8941,4.88,4.9
-0.21,-0.05,4.81,5.25,8.25,4.93,-0.53,1.8839,4.72,4.77
-0.32,-0.07,4.92,5.25,8.25,5.05,-0.52,1.8765,4.73,4.8
-0.47,-0.14,4.94,5.25,8.25,5.07,-0.65,1.9125,4.6,4.74
-0.41,-0.11,4.85,5.24,8.25,4.97,-0.68,1.9629,4.56,4.67
-0.35,-0.12,4.98,5.25,8.25,5.11,-0.49,1.9587,4.76,4.88
-0.44,-0.13,5.03,5.26,8.25,5.16,-0.54,1.9589,4.72,4.85
-0.52,-0.01,4.94,5.26,8.25,5.08,-0.7,1.9474,4.56,4.57
-0.32,0.02,4.87,5.25,8.25,5.01,-0.56,1.9879,4.69,4.67
-0.12,-0.02,4.73,5.25,8.25,4.87,-0.5,1.9842,4.75,4.77
0.36,0.12,4.61,5.25,8.25,4.74,-0.15,1.9867,5.1,4.98
0.04,0.18,4.82,5.26,8.25,4.96,-0.26,2.0355,5,4.82
0.35,0.36,4.2,5.02,8.25,4.32,-0.35,2.011,4.67,4.31
0.53,0.51,3.89,4.94,8.03,3.99,-0.42,2.0184,4.52,4.01
0.53,0.56,3.9,4.76,7.74,4,-0.23,2.0449,4.53,3.97
0.8,0.81,3.27,4.49,7.5,3.35,-0.34,2.0701,4.15,3.34
1.03,0.98,3,4.24,7.33,3.07,-0.14,2.0161,4.1,3.12
0.92,1.26,2.75,3.94,6.98,2.82,-0.2,1.9702,3.74,2.48
1.57,1.77,2.12,2.98,6,2.17,0.76,1.9646,3.74,1.97
2.23,1.89,1.26,2.61,5.66,1.28,0.9,2.0015,3.51,1.62
2.37,1.63,1.29,2.28,5.24,1.31,1.4,1.9816,3.68,2.05
2.12,1.43,1.73,1.98,5,1.76,1.9,1.965,3.88,2.45
2.21,1.33,1.86,2,5,1.89,2.1,1.9664,4.1,2.77
2.35,1.44,1.63,2.01,5,1.66,2,1.9888,4.01,2.57
2.14,1.47,1.72,2,5,1.75,1.89,1.8865,3.89,2.42
2.54,1.61,1.13,1.81,5,1.15,1.88,1.7973,3.69,2.08
3.12,2.2,0.67,0.97,4.56,0.69,2.84,1.6862,3.81,1.61
3.34,2.32,0.19,0.39,4,0.19,3.14,1.5327,3.53,1.21
2.39,1.6,0.03,0.16,3.61,0.03,2.26,1.4854,2.42,0.82
2.39,1.71,0.13,0.15,3.25,0.13,2.37,1.4462,2.52,0.81
2.57,1.89,0.3,0.22,3.25,0.3,2.65,1.4422,2.87,0.98
2.6,1.89,0.21,0.18,3.25,0.22,2.64,1.417,2.82,0.93
2.77,2,0.16,0.15,3.25,0.16,2.78,1.4712,2.93,0.93
3.11,2.36,0.18,0.18,3.25,0.18,3.11,1.5418,3.29,0.93
3.54,2.54,0.18,0.21,3.25,0.18,3.51,1.6369,3.72,1.18
3.38,2.54,0.18,0.16,3.25,0.18,3.4,1.6378,3.56,1.02
3.42,2.47,0.17,0.16,3.25,0.17,3.43,1.6532,3.59,1.12
3.28,2.44,0.12,0.15,3.25,0.12,3.25,1.6323,3.4,0.96
3.32,2.44,0.07,0.12,3.25,0.07,3.27,1.6212,3.39,0.95
3.35,2.6,0.05,0.12,3.25,0.05,3.28,1.6599,3.4,0.8
3.54,2.72,0.05,0.12,3.25,0.05,3.47,1.6226,3.59,0.87
3.67,2.8,0.06,0.11,3.25,0.06,3.62,1.6158,3.73,0.93
3.58,2.83,0.11,0.13,3.25,0.11,3.56,1.5618,3.69,0.86
3.58,2.77,0.15,0.16,3.25,0.15,3.57,1.5058,3.73,0.96
3.69,2.79,0.16,0.2,3.25,0.16,3.65,1.5332,3.85,1.06
3.26,2.59,0.16,0.2,3.25,0.16,3.22,1.4669,3.42,0.83
3.08,2.48,0.12,0.18,3.25,0.12,3.02,1.4768,3.2,0.72
2.85,2.39,0.16,0.18,3.25,0.16,2.83,1.5304,3.01,0.62
2.54,2.18,0.16,0.19,3.25,0.16,2.51,1.5661,2.7,0.52
2.5,2.17,0.15,0.19,3.25,0.15,2.46,1.5591,2.65,0.48
2.41,2.16,0.13,0.19,3.25,0.13,2.35,1.5867,2.54,0.38
2.62,2.31,0.14,0.19,3.25,0.14,2.57,1.5961,2.76,0.45
3.15,2.67,0.14,0.18,3.25,0.14,3.11,1.5595,3.29,0.62
3.24,2.78,0.15,0.17,3.25,0.15,3.22,1.5782,3.39,0.61
3.45,2.81,0.13,0.16,3.25,0.13,3.42,1.6124,3.58,0.77
3.31,2.71,0.1,0.14,3.25,0.1,3.27,1.6159,3.41,0.7
3.4,2.73,0.06,0.1,3.25,0.06,3.36,1.6379,3.46,0.73
3.13,2.61,0.04,0.09,3.25,0.04,3.08,1.6332,3.17,0.56
2.96,2.59,0.04,0.09,3.25,0.04,2.91,1.6219,3,0.41
2.96,2.59,0.04,0.07,3.25,0.04,2.93,1.6158,3,0.41
2.28,2.07,0.02,0.1,3.25,0.02,2.2,1.6356,2.3,0.23
1.97,1.77,0.01,0.08,3.25,0.01,1.9,1.5771,1.98,0.21
2.13,1.87,0.02,0.07,3.25,0.02,2.08,1.5768,2.15,0.28
